MEMSIZE 1024
PROCSIZE 1 39
PROCSIZE 2 29
PROCSIZE 3 48
PROCSIZE 4 11
PROCSIZE 5 31
PROCSIZE 6 44
PROCSIZE 7 46
PROCSIZE 8 12
PROCSIZE 9 47
PROCSIZE 10 38
PROCSIZE 11 40
PROCSIZE 12 13
WRITE 42 3
READ 15 9
READ 4 4
READ 2 5
READ 44 9
READ 42 6
WRITE 1 11
WRITE 7 8
READ 19 1
WRITE 5 5
WRITE 29 10
READ 39 11
READ 8 2
READ 23 10
READ 17 6
READ 18 10
READ 18 11
READ 31 3
READ 8 3
WRITE 10 12
WRITE 32 6
READ 29 1
WRITE 45 7
WRITE 43 9
READ 5 12
WRITE 16 2
READ 8 8
READ 37 1
READ 16 5
WRITE 29 11
READ 34 11
WRITE 32 10
WRITE 9 9
READ 34 3
WRITE 27 1
READ 25 1
WRITE 33 3
READ 31 3
READ 7 2
WRITE 27 11
READ 26 6
READ 24 9
READ 26 2
READ 13 6
WRITE 6 2
READ 35 1
WRITE 11 2
READ 10 4
READ 5 6
WRITE 9 1
WRITE 6 8
WRITE 38 6
READ 3 12
WRITE 6 8
READ 8 4
READ 32 1
WRITE 18 2
READ 37 1
WRITE 20 1
READ 1 2
READ 42 9
WRITE 13 11
READ 9 8
WRITE 26 1
WRITE 40 7
READ 15 2
READ 42 9
READ 12 8
WRITE 13 2
WRITE 6 1
READ 6 4
READ 8 8
WRITE 18 7
READ 26 5
WRITE 33 6
WRITE 34 10
WRITE 37 6
READ 24 11
WRITE 20 1
WRITE 7 9
WRITE 19 2
WRITE 6 3
READ 26 9
WRITE 6 8
READ 13 12
READ 5 2
WRITE 33 7
READ 2 5
WRITE 5 12
READ 13 2
WRITE 1 4
WRITE 13 2
READ 21 5
WRITE 39 3
WRITE 13 2
READ 6 8
READ 32 6
READ 9 10
WRITE 8 8
WRITE 25 5
WRITE 14 3
READ 11 1
WRITE 7 3
WRITE 6 10
READ 7 2
WRITE 35 9
WRITE 34 9
WRITE 29 7
WRITE 5 4
READ 7 1
WRITE 10 9
WRITE 3 5
READ 11 8
READ 7 4
WRITE 8 4
WRITE 24 3
WRITE 5 2
WRITE 44 3
WRITE 12 8
WRITE 10 10
READ 13 12
READ 28 7
READ 2 2
WRITE 21 1
WRITE 16 2
WRITE 24 11
READ 9 12
READ 24 10
WRITE 25 9
READ 37 3
WRITE 15 6
WRITE 28 7
WRITE 36 10
WRITE 8 4
READ 38 7
READ 13 11
WRITE 20 2
WRITE 38 3
WRITE 21 7
READ 11 1
WRITE 23 10
WRITE 4 8
READ 10 4
READ 1 12
WRITE 6 8
WRITE 7 4
READ 21 2
WRITE 26 3
WRITE 33 3
READ 33 7
WRITE 14 10
READ 16 2
READ 23 1
WRITE 36 11
WRITE 8 4
READ 2 10
READ 7 10
WRITE 31 5
READ 37 7
READ 20 5
WRITE 1 6
WRITE 21 7
READ 15 2
READ 8 12
READ 6 9
READ 32 3
WRITE 21 9
READ 22 1
WRITE 1 4
WRITE 35 6
READ 16 7
WRITE 43 6
WRITE 20 10
READ 40 3
WRITE 24 2
WRITE 10 9
WRITE 8 9
READ 11 12
READ 26 7
READ 19 3
READ 13 11
WRITE 11 4
READ 4 4
WRITE 6 1
READ 12 1
WRITE 27 11
WRITE 34 10
READ 7 12
WRITE 11 12
WRITE 2 8
READ 23 5
WRITE 39 3
WRITE 7 8
READ 9 4
READ 15 6
READ 35 9
WRITE 22 1
READ 31 3
WRITE 30 6
READ 5 2
READ 20 5
READ 36 1
WRITE 2 4
READ 35 6
WRITE 11 1
WRITE 9 1
WRITE 7 1
READ 21 9
READ 3 6
WRITE 2 4
WRITE 41 3
WRITE 11 3
READ 18 7
READ 10 4
WRITE 28 2
READ 35 7
READ 34 7
READ 4 12
WRITE 25 11
READ 22 1
WRITE 28 10
READ 30 3
READ 9 12
READ 18 2
READ 27 9
READ 14 3
READ 5 12
WRITE 16 7
WRITE 3 9
READ 11 5
WRITE 34 7
WRITE 32 6
WRITE 8 1
WRITE 8 9
READ 26 9
READ 23 2
WRITE 4 5
WRITE 4 4
WRITE 39 1
WRITE 16 7
WRITE 13 10
WRITE 34 3
READ 12 12
WRITE 10 3
READ 47 9
READ 23 10
READ 1 2
READ 23 2
READ 10 12
READ 17 6
WRITE 7 1
WRITE 17 5
WRITE 12 6
WRITE 1 10
WRITE 43 6
READ 19 1
WRITE 5 12
READ 12 2
READ 26 1
WRITE 28 5
WRITE 4 4
WRITE 8 7
READ 31 9
WRITE 11 8
WRITE 36 1
READ 7 9
READ 40 11
WRITE 41 7
WRITE 27 5
WRITE 22 7
WRITE 2 2
WRITE 31 3
WRITE 36 10
READ 25 3
READ 12 11
READ 7 1
WRITE 9 3
WRITE 22 7
WRITE 38 10
WRITE 24 10
READ 9 5
WRITE 28 1
READ 36 3
WRITE 5 8
WRITE 36 6
WRITE 27 5
WRITE 7 8
READ 10 4
READ 10 4
READ 21 10
READ 9 5
READ 10 12
READ 11 12
READ 14 5
WRITE 25 11
READ 18 2
READ 36 3
WRITE 13 12
READ 10 5
READ 29 1
READ 7 11
WRITE 21 10
WRITE 3 7
READ 13 11
READ 39 11
WRITE 11 8
WRITE 40 3
READ 10 2
READ 19 5
WRITE 3 4
WRITE 21 11
READ 6 6
READ 11 8
WRITE 3 8
WRITE 24 5
WRITE 3 4
READ 10 11
READ 32 10
READ 18 1
READ 27 11
READ 10 4
WRITE 8 4
READ 22 9
READ 4 11
WRITE 15 2
WRITE 11 5
WRITE 26 1
READ 11 2
READ 31 7
READ 1 12
READ 11 12
READ 24 3
WRITE 22 1
WRITE 25 7
READ 10 12
WRITE 29 3
READ 43 3
WRITE 30 6
READ 17 9
WRITE 10 5
READ 9 1
WRITE 22 11
READ 3 4
READ 17 10
WRITE 24 2
WRITE 8 3
READ 6 7
WRITE 5 9
READ 2 4
READ 31 9
READ 2 4
WRITE 24 7
WRITE 5 12
READ 8 8
WRITE 2 2
WRITE 28 3
READ 3 7
READ 13 5
READ 29 7
WRITE 9 2
WRITE 5 10
READ 41 6
READ 5 4
WRITE 6 9
READ 12 7
READ 18 11
WRITE 2 11
READ 21 11
READ 9 4
WRITE 17 5
READ 24 5
READ 3 7
READ 13 6
WRITE 1 11
READ 16 6
WRITE 16 11
WRITE 24 2
READ 20 6
WRITE 1 12
READ 21 7
WRITE 15 1
WRITE 42 7
READ 33 11
READ 3 8
READ 23 2
WRITE 8 8
READ 36 10
WRITE 4 11
READ 4 4
WRITE 36 3
READ 27 2
WRITE 22 7
WRITE 23 5
WRITE 5 4
WRITE 33 11
READ 3 8
WRITE 19 3
WRITE 18 7
WRITE 8 4
READ 6 12
WRITE 16 7
READ 21 3
READ 6 5
READ 8 4
READ 19 5
READ 11 4
WRITE 32 7
READ 17 5
WRITE 9 12
WRITE 25 11
READ 6 4
READ 34 6
READ 21 2
WRITE 6 12
WRITE 26 7
WRITE 12 3
READ 26 6
WRITE 12 12
WRITE 16 7
WRITE 7 12
WRITE 14 9
WRITE 10 8
WRITE 17 10
READ 1 3
READ 3 8
WRITE 34 10
WRITE 3 8
WRITE 19 3
WRITE 7 8
WRITE 8 7
WRITE 23 2
READ 39 9
WRITE 24 3
READ 1 12
READ 16 5
WRITE 2 8
WRITE 1 4
READ 15 2
WRITE 11 3
READ 24 1
READ 14 10
READ 39 3
READ 9 11
WRITE 8 2
WRITE 24 10
READ 16 5
READ 8 3
READ 7 12
READ 7 10
WRITE 13 5
READ 27 11
READ 34 10
WRITE 47 9
READ 5 2
WRITE 45 3
READ 23 11
WRITE 7 5
READ 37 3
READ 12 8
READ 26 5
WRITE 37 10
WRITE 17 9
WRITE 20 3
READ 5 12
READ 8 11
WRITE 28 2
READ 9 1
READ 34 3
READ 25 7
READ 30 6
WRITE 30 10
WRITE 11 3
WRITE 19 5
WRITE 25 2
WRITE 23 7
READ 38 10
READ 17 2
READ 39 11
WRITE 15 5
WRITE 11 5
WRITE 30 10
READ 7 4
WRITE 7 12
READ 10 4
READ 23 9
WRITE 12 8
READ 32 9
READ 1 2
READ 16 5
READ 12 5
READ 16 3
WRITE 34 3
WRITE 36 1
READ 4 12
READ 2 5
WRITE 21 2
WRITE 48 3
WRITE 15 2
WRITE 28 2
WRITE 9 1
READ 45 7
WRITE 11 3
READ 12 6
WRITE 12 9
READ 32 10
WRITE 13 5
WRITE 4 5
READ 3 9
READ 24 11
READ 5 8
READ 7 10
READ 26 5
WRITE 5 5
READ 25 10
READ 9 1
READ 13 9
READ 7 5
WRITE 10 11
WRITE 31 11
READ 9 8
WRITE 18 1
WRITE 6 4
WRITE 19 3
READ 34 9
WRITE 30 11
WRITE 12 12
WRITE 4 12
WRITE 4 8
READ 21 1
READ 5 8
READ 4 8
READ 4 3
READ 9 1
READ 25 9
READ 12 8
WRITE 11 5
WRITE 30 7
WRITE 4 12
WRITE 26 11
READ 20 5
WRITE 2 4
WRITE 40 11
WRITE 7 4
WRITE 9 11
READ 11 3
WRITE 21 2
WRITE 25 11
WRITE 5 12
READ 21 9
WRITE 23 11
WRITE 16 1
READ 21 5
READ 8 8
READ 33 3
READ 27 1
WRITE 3 5
READ 5 12
READ 20 6
WRITE 4 9
READ 1 8
WRITE 12 11
WRITE 11 12
WRITE 38 10
READ 6 8
READ 29 10
WRITE 6 8
WRITE 2 4
READ 3 12
WRITE 7 4
READ 31 5
READ 2 11
WRITE 2 7
WRITE 3 9
WRITE 8 8
READ 9 8
WRITE 6 11
READ 24 10
WRITE 13 12
READ 43 9
WRITE 8 8
READ 2 2
READ 22 3
WRITE 37 10
READ 6 8
WRITE 22 6
READ 30 10
WRITE 11 2
READ 39 9
WRITE 4 12
READ 18 2
WRITE 32 6
WRITE 4 2
WRITE 3 12
WRITE 12 11
WRITE 15 11
WRITE 34 7
READ 10 12
READ 6 7
WRITE 22 9
READ 22 3
WRITE 43 7
READ 6 4
WRITE 6 6
WRITE 5 12
WRITE 3 12
READ 34 1
READ 12 9
READ 1 10
WRITE 39 6
READ 3 11
READ 37 10
WRITE 4 2
READ 28 11
READ 10 8
READ 14 3
WRITE 24 3
READ 10 1
WRITE 7 12
WRITE 17 9
READ 35 7
WRITE 7 5
READ 28 2
WRITE 18 11
WRITE 13 1
READ 25 10
READ 21 11
WRITE 45 3
READ 11 8
READ 23 1
WRITE 13 3
READ 10 3
WRITE 6 8
WRITE 47 3
WRITE 35 11
READ 13 1
READ 23 11
READ 1 4
READ 7 2
READ 38 11
WRITE 17 11
WRITE 17 2
READ 13 9
WRITE 15 11
WRITE 27 3
READ 29 9
WRITE 20 11
WRITE 8 8
WRITE 28 10
WRITE 21 2
READ 10 11
WRITE 10 4
READ 23 1
READ 41 9
READ 16 5
WRITE 9 8
WRITE 24 6
READ 1 8
READ 37 6
READ 8 8
READ 10 8
WRITE 36 11
WRITE 9 10
WRITE 7 8
WRITE 12 11
READ 1 9
WRITE 22 11
READ 23 5
WRITE 17 7
READ 32 7
WRITE 23 1
WRITE 34 11
WRITE 17 6
WRITE 9 11
READ 8 7
READ 38 10
WRITE 38 10
READ 2 1
WRITE 46 3
READ 4 12
WRITE 1 7
READ 18 9
READ 2 8
READ 9 11
READ 3 3
READ 24 1
READ 13 9
WRITE 18 11
WRITE 21 2
WRITE 15 2
WRITE 7 1
READ 11 1
READ 1 2
WRITE 19 1
READ 44 7
READ 14 11
READ 20 5
WRITE 29 5
READ 6 3
READ 7 4
READ 15 9
READ 37 1
READ 4 2
WRITE 15 1
READ 38 1
WRITE 33 9
READ 29 1
READ 38 11
WRITE 21 6
WRITE 25 6
WRITE 35 1
WRITE 20 11
WRITE 9 2
READ 28 11
READ 10 8
WRITE 26 11
READ 17 9
READ 15 11
READ 11 1
WRITE 12 10
WRITE 25 1
READ 4 12
READ 9 8
READ 3 12
READ 6 7
WRITE 30 3
READ 36 1
READ 5 5
READ 9 4
WRITE 36 9
WRITE 11 12
READ 13 12
READ 1 2
WRITE 30 1
READ 31 6
READ 4 7
WRITE 1 7
WRITE 36 6
READ 2 8
WRITE 8 12
READ 34 3
READ 22 10
READ 11 11
READ 23 1
WRITE 24 5
READ 27 2
READ 9 8
READ 43 9
WRITE 2 2
READ 17 9
READ 4 1
READ 38 6
WRITE 16 6
READ 31 3
READ 6 4
READ 8 2
WRITE 19 3
WRITE 33 6
READ 23 5
WRITE 29 10
WRITE 8 11
READ 15 10
WRITE 29 5
READ 13 12
WRITE 30 10
WRITE 14 2
READ 15 5
WRITE 13 9
READ 6 6
WRITE 7 8
WRITE 6 4
READ 5 12
WRITE 9 5
WRITE 5 12
WRITE 10 12
WRITE 32 11
READ 34 1
WRITE 3 4
READ 41 6
READ 1 10
READ 6 7
READ 9 1
READ 1 8
WRITE 42 3
WRITE 2 8
READ 24 10
WRITE 10 2
READ 28 9
WRITE 6 8
READ 10 7
READ 41 6
READ 10 8
WRITE 47 3
READ 10 11
WRITE 43 9
WRITE 7 5
READ 28 2
READ 1 8
READ 7 3
READ 1 1
READ 11 12
READ 25 2
READ 30 10
WRITE 8 4
WRITE 8 12
WRITE 9 12
WRITE 33 11
WRITE 2 4
WRITE 13 12
WRITE 13 12
READ 22 2
WRITE 20 5
READ 37 11
WRITE 9 7
WRITE 26 9
WRITE 3 4
WRITE 43 7
WRITE 2 12
WRITE 8 4
WRITE 23 7
WRITE 35 6
READ 2 2
READ 2 4
READ 5 2
WRITE 37 9
WRITE 16 5
READ 26 3
READ 1 4
READ 43 3
READ 30 9
WRITE 9 6
READ 23 2
READ 12 10
WRITE 13 3
WRITE 2 8
WRITE 5 12
READ 1 1
READ 7 3
WRITE 9 3
READ 2 5
READ 1 4
WRITE 13 9
READ 8 4
READ 7 9
WRITE 26 10
READ 36 11
WRITE 11 11
READ 11 8
WRITE 12 12
READ 10 2
READ 38 1
READ 5 12
WRITE 11 12
READ 41 7
READ 24 5
WRITE 9 1
READ 10 4
WRITE 8 5
READ 29 11
READ 19 3
WRITE 3 12
WRITE 7 8
WRITE 11 12
READ 37 6
READ 9 5
WRITE 35 6
READ 20 11
WRITE 43 9
WRITE 11 1
READ 14 5
WRITE 36 11
READ 42 7
READ 42 7
WRITE 2 6
READ 11 12
WRITE 12 8
READ 17 1
READ 22 9
READ 32 10
READ 36 1
WRITE 6 8
READ 16 1
WRITE 31 6
READ 34 7
READ 12 12
READ 32 6
READ 9 12
READ 30 1
READ 10 8
WRITE 1 4
WRITE 30 6
READ 4 4
WRITE 8 4
WRITE 11 4
READ 37 10
WRITE 9 5
READ 15 6
WRITE 9 8
WRITE 10 1
WRITE 30 6
READ 10 3
WRITE 26 11
WRITE 4 2
WRITE 11 6
READ 10 1
WRITE 13 10
READ 26 6
WRITE 2 7
WRITE 33 6
WRITE 6 7
WRITE 41 3
WRITE 6 8
