MEMSIZE 500
PROCSIZE 1 36
PROCSIZE 2 34
PROCSIZE 3 19
PROCSIZE 4 37
PROCSIZE 5 45
PROCSIZE 6 26
PROCSIZE 7 39
PROCSIZE 8 42
PROCSIZE 9 25
PROCSIZE 10 17
WRITE 9 9
WRITE 16 2
READ 2 1
WRITE 17 8
READ 7 3
WRITE 28 5
WRITE 8 3
WRITE 26 8
WRITE 35 4
WRITE 18 7
WRITE 23 2
WRITE 12 6
READ 18 4
READ 29 4
WRITE 21 7
READ 16 6
WRITE 13 9
WRITE 8 3
WRITE 14 10
WRITE 21 4
WRITE 14 1
READ 1 7
WRITE 12 1
READ 17 10
WRITE 13 1
READ 43 5
READ 2 9
READ 19 9
READ 11 5
READ 4 10
WRITE 5 2
READ 1 7
WRITE 37 7
READ 6 10
READ 12 3
WRITE 7 4
READ 12 10
READ 21 7
WRITE 29 7
READ 13 3
READ 22 6
READ 3 8
READ 32 2
WRITE 26 1
WRITE 2 7
READ 3 9
READ 15 10
WRITE 14 10
READ 5 3
READ 14 10
READ 34 1
READ 4 6
READ 32 2
WRITE 6 10
WRITE 26 2
WRITE 26 6
READ 5 7
WRITE 14 4
WRITE 21 7
WRITE 22 7
WRITE 36 1
WRITE 14 7
READ 6 10
WRITE 23 9
READ 12 6
WRITE 2 10
WRITE 24 9
READ 15 1
WRITE 26 1
WRITE 27 1
READ 14 3
READ 16 9
WRITE 43 5
WRITE 9 2
WRITE 34 7
WRITE 6 4
WRITE 17 6
READ 29 4
READ 28 5
WRITE 10 4
READ 6 3
WRITE 15 5
READ 23 4
READ 33 7
READ 32 7
WRITE 24 6
READ 14 9
WRITE 20 1
WRITE 14 6
READ 20 2
WRITE 14 9
WRITE 5 5
READ 15 6
WRITE 16 9
WRITE 2 6
WRITE 4 8
WRITE 25 1
READ 2 3
WRITE 19 3
WRITE 13 5
READ 21 1
WRITE 9 3
READ 16 6
READ 24 9
READ 28 2
WRITE 5 4
WRITE 24 7
READ 16 5
READ 5 10
READ 1 4
READ 13 5
READ 10 7
READ 25 1
READ 14 10
READ 11 8
READ 1 3
WRITE 42 5
READ 2 3
READ 22 2
WRITE 25 7
WRITE 18 8
READ 38 8
WRITE 35 8
READ 5 3
READ 30 7
READ 16 1
WRITE 14 2
WRITE 6 1
WRITE 39 7
WRITE 17 4
WRITE 23 1
READ 2 3
READ 6 6
WRITE 30 4
READ 25 9
WRITE 25 2
READ 33 7
WRITE 6 10
WRITE 36 8
READ 24 8
READ 38 7
WRITE 4 4
WRITE 16 9
WRITE 6 1
READ 11 3
WRITE 24 7
WRITE 30 2
WRITE 1 10
READ 18 6
WRITE 16 9
READ 29 7
READ 6 8
READ 21 8
READ 9 2
WRITE 33 2
WRITE 12 2
READ 19 9
READ 22 7
READ 24 4
READ 31 8
READ 4 3
READ 9 6
READ 4 4
READ 28 4
READ 15 2
WRITE 8 10
WRITE 6 10
READ 18 3
READ 6 6
READ 13 7
WRITE 22 2
WRITE 12 3
READ 39 8
WRITE 21 7
WRITE 30 5
WRITE 9 2
WRITE 2 5
READ 37 8
READ 12 10
WRITE 1 2
WRITE 33 7
READ 16 7
WRITE 3 10
READ 1 9
READ 15 7
READ 11 10
READ 15 1
READ 20 6
READ 9 3
WRITE 17 10
READ 4 7
WRITE 7 10
READ 20 6
READ 9 5
WRITE 11 5
WRITE 6 7
READ 6 5
WRITE 42 5
READ 32 1
WRITE 8 9
READ 2 9
READ 30 7
WRITE 20 9
WRITE 28 1
WRITE 7 3
WRITE 28 4
WRITE 21 9
READ 4 1
READ 20 1
WRITE 9 1
READ 12 3
WRITE 4 2
READ 3 9
READ 4 8
READ 23 9
WRITE 10 9
