MEMSIZE 1024
PROCSIZE 1 22
PROCSIZE 2 37
PROCSIZE 3 23
PROCSIZE 4 39
PROCSIZE 5 31
PROCSIZE 6 11
PROCSIZE 7 15
PROCSIZE 8 14
PROCSIZE 9 37
PROCSIZE 10 50
PROCSIZE 11 41
PROCSIZE 12 27
WRITE 20 4
READ 8 6
WRITE 41 10
READ 2 8
WRITE 26 2
WRITE 34 9
WRITE 10 10
WRITE 24 12
WRITE 3 2
WRITE 4 9
WRITE 5 8
WRITE 7 6
WRITE 31 9
WRITE 37 9
WRITE 10 7
WRITE 3 10
WRITE 2 12
WRITE 12 4
WRITE 3 8
WRITE 27 11
WRITE 21 12
READ 25 2
READ 14 1
WRITE 8 1
READ 7 12
WRITE 5 3
WRITE 13 12
WRITE 3 8
READ 2 5
WRITE 11 6
READ 5 9
WRITE 4 5
WRITE 4 7
READ 10 3
WRITE 7 6
READ 11 9
READ 3 6
WRITE 28 10
READ 14 3
READ 5 9
READ 12 5
WRITE 23 11
READ 9 7
WRITE 21 2
READ 10 8
WRITE 21 12
WRITE 9 8
WRITE 37 2
READ 1 11
WRITE 10 3
WRITE 33 4
READ 23 3
WRITE 9 3
WRITE 13 10
READ 5 9
WRITE 11 3
READ 11 8
WRITE 2 9
WRITE 1 9
READ 4 8
READ 32 10
READ 9 10
READ 32 4
READ 24 4
WRITE 36 9
WRITE 5 7
WRITE 40 10
READ 14 8
WRITE 14 2
WRITE 20 5
READ 6 5
READ 1 10
WRITE 16 3
WRITE 3 6
READ 8 4
READ 11 3
READ 7 8
WRITE 5 1
WRITE 10 8
READ 6 7
READ 35 2
READ 22 1
READ 19 3
READ 2 7
READ 37 9
READ 13 8
WRITE 6 8
WRITE 34 10
READ 27 12
READ 12 3
WRITE 8 6
WRITE 26 2
READ 7 4
READ 13 7
READ 30 10
WRITE 5 3
WRITE 16 12
READ 5 8
WRITE 25 5
WRITE 3 5
READ 31 2
WRITE 3 8
READ 5 7
READ 13 11
READ 36 4
READ 5 6
READ 33 10
WRITE 3 6
WRITE 11 7
READ 35 4
READ 6 5
READ 4 4
READ 10 4
READ 3 9
READ 18 2
WRITE 22 2
WRITE 25 5
READ 5 8
READ 2 5
READ 24 11
WRITE 29 9
WRITE 17 9
READ 42 10
WRITE 33 4
READ 23 11
READ 4 7
WRITE 7 6
WRITE 8 7
WRITE 8 12
WRITE 1 3
READ 4 6
READ 5 6
WRITE 9 11
WRITE 15 4
WRITE 6 8
WRITE 10 6
READ 15 7
READ 28 2
WRITE 29 10
READ 4 4
WRITE 14 7
READ 14 1
READ 2 7
READ 19 11
WRITE 15 5
READ 29 11
WRITE 13 1
READ 5 3
READ 5 2
READ 37 10
READ 15 4
WRITE 18 12
READ 15 5
READ 35 2
WRITE 1 10
WRITE 10 12
WRITE 7 4
WRITE 3 7
READ 38 10
WRITE 9 6
READ 10 5
WRITE 16 12
WRITE 4 6
WRITE 12 8
READ 9 5
READ 4 8
WRITE 2 1
READ 7 6
READ 12 10
WRITE 24 12
READ 37 4
WRITE 37 11
WRITE 28 5
WRITE 2 10
WRITE 10 7
WRITE 23 11
READ 12 2
WRITE 14 2
READ 29 11
READ 3 4
READ 10 2
WRITE 7 1
READ 14 7
WRITE 21 1
READ 14 12
READ 24 9
READ 12 12
READ 9 5
WRITE 1 5
READ 7 7
READ 3 2
WRITE 12 9
WRITE 12 4
READ 17 1
WRITE 11 8
WRITE 24 5
WRITE 10 6
READ 15 11
READ 15 9
READ 40 11
READ 10 3
READ 21 2
READ 13 8
READ 15 7
WRITE 4 4
WRITE 3 8
READ 26 9
WRITE 10 9
READ 13 12
WRITE 7 3
READ 1 4
WRITE 6 6
WRITE 5 11
READ 32 10
WRITE 3 11
READ 11 7
READ 5 6
READ 1 12
WRITE 15 11
WRITE 8 6
READ 4 1
READ 7 1
READ 8 3
WRITE 10 8
WRITE 17 1
READ 23 5
READ 36 11
READ 8 4
WRITE 26 2
WRITE 4 6
WRITE 23 2
WRITE 6 1
READ 14 8
WRITE 22 5
WRITE 27 5
WRITE 18 3
READ 16 4
WRITE 9 2
WRITE 30 10
WRITE 6 11
WRITE 15 7
READ 28 10
WRITE 11 4
READ 16 1
READ 24 5
READ 2 10
READ 25 9
WRITE 6 6
READ 5 1
WRITE 3 7
WRITE 1 3
WRITE 6 8
READ 10 10
WRITE 3 7
WRITE 5 6
READ 15 2
READ 1 9
READ 19 2
READ 22 9
READ 18 5
WRITE 40 11
WRITE 35 9
READ 10 1
WRITE 8 10
READ 10 6
READ 5 7
READ 36 9
WRITE 12 2
READ 4 3
WRITE 19 1
WRITE 9 5
READ 16 1
READ 23 12
READ 4 9
ENDPROC 1
ENDPROC 2
ENDPROC 3
ENDPROC 4
ENDPROC 5
ENDPROC 6
ENDPROC 7
ENDPROC 8
ENDPROC 9
ENDPROC 10
ENDPROC 11
ENDPROC 12
