MEMSIZE 250
PROCSIZE 1 11
PROCSIZE 2 38
PROCSIZE 3 14
PROCSIZE 4 11
PROCSIZE 5 10
PROCSIZE 6 23
PROCSIZE 7 46
PROCSIZE 8 10
PROCSIZE 9 18
PROCSIZE 10 43
READ 41 10
WRITE 10 1
WRITE 4 3
WRITE 9 8
WRITE 5 4
WRITE 35 2
WRITE 5 1
WRITE 9 8
WRITE 27 2
READ 13 9
READ 7 6
WRITE 15 10
READ 20 2
READ 1 9
READ 19 6
READ 20 2
WRITE 6 3
READ 3 8
WRITE 10 6
WRITE 20 6
READ 3 2
READ 6 8
WRITE 8 8
READ 8 8
READ 5 1
WRITE 10 1
WRITE 1 1
READ 4 8
READ 12 9
READ 43 7
READ 6 9
WRITE 12 3
WRITE 20 2
READ 16 6
READ 5 1
READ 17 7
WRITE 10 8
READ 11 4
WRITE 9 2
READ 16 7
READ 10 1
READ 3 8
WRITE 34 10
READ 14 9
WRITE 5 6
WRITE 7 1
READ 8 6
READ 8 5
WRITE 6 5
WRITE 39 10
WRITE 4 3
WRITE 10 5
WRITE 17 9
WRITE 10 10
READ 5 8
WRITE 39 10
READ 11 10
READ 8 5
READ 9 2
WRITE 3 9
WRITE 4 6
WRITE 9 5
READ 10 1
READ 4 3
READ 36 7
WRITE 9 4
READ 2 8
WRITE 28 2
READ 4 1
WRITE 36 10
READ 11 1
WRITE 13 3
WRITE 25 2
WRITE 8 5
WRITE 3 4
WRITE 4 7
WRITE 14 3
WRITE 8 4
WRITE 3 5
READ 2 8
WRITE 8 9
WRITE 6 4
READ 7 2
WRITE 10 1
WRITE 9 3
WRITE 7 2
READ 6 9
READ 29 10
WRITE 3 3
READ 9 8
WRITE 2 5
WRITE 12 9
WRITE 10 8
READ 16 6
READ 25 7
WRITE 9 4
WRITE 4 2
READ 43 7
READ 11 1
READ 36 10
WRITE 43 10
WRITE 6 8
WRITE 10 4
WRITE 18 9
READ 43 10
READ 35 10
READ 21 6
WRITE 19 2
READ 12 6
READ 1 1
WRITE 5 4
READ 1 1
WRITE 14 7
WRITE 4 10
WRITE 6 6
READ 7 3
WRITE 39 7
WRITE 7 1
READ 35 7
READ 2 4
WRITE 33 10
WRITE 1 4
WRITE 5 5
WRITE 9 1
WRITE 10 7
WRITE 19 6
READ 29 10
WRITE 5 1
WRITE 3 5
READ 7 5
READ 6 8
READ 19 6
WRITE 1 3
READ 26 2
WRITE 4 1
WRITE 3 5
WRITE 28 2
WRITE 18 7
WRITE 9 5
READ 43 10
WRITE 8 6
READ 14 7
READ 13 9
WRITE 24 2
WRITE 2 3
WRITE 18 6
WRITE 2 3
WRITE 9 1
READ 13 9
WRITE 37 2
WRITE 7 4
READ 16 9
READ 5 3
WRITE 11 6
