MEMSIZE 15
PROCSIZE 1 16
PROCSIZE 2 16
PROCSIZE 3 15
PROCSIZE 4 11
READ 4 2
READ 9 4
WRITE 3 3
READ 7 3
READ 16 2
WRITE 10 1
WRITE 5 3
WRITE 8 4
WRITE 14 3
READ 7 3
READ 9 3
WRITE 15 1
READ 15 3
READ 14 1
WRITE 14 1
READ 6 3
READ 7 4
WRITE 7 2
READ 12 3
READ 6 3
READ 6 2
WRITE 5 4
WRITE 11 1
READ 15 3
READ 7 4
READ 2 4
READ 8 3
READ 15 1
WRITE 8 3
READ 8 3
WRITE 10 4
WRITE 4 3
READ 1 2
READ 3 3
READ 12 2
WRITE 3 3
WRITE 12 1
READ 15 2
WRITE 2 4
READ 5 4
WRITE 13 3
WRITE 16 1
READ 1 1
WRITE 15 3
READ 9 2
WRITE 14 1
READ 11 2
READ 6 2
READ 3 2
READ 8 4
READ 1 4
READ 13 1
WRITE 13 2
WRITE 12 1
WRITE 2 4
WRITE 2 4
READ 3 3
READ 13 3
READ 7 4
WRITE 5 4
READ 5 4
READ 9 4
READ 6 3
READ 3 4
WRITE 11 4
READ 4 3
WRITE 5 4
WRITE 13 2
WRITE 5 4
READ 14 1
WRITE 11 4
READ 15 1
WRITE 5 4
WRITE 15 3
WRITE 11 4
WRITE 10 1
READ 8 2
WRITE 2 3
WRITE 8 1
READ 5 2
WRITE 4 3
WRITE 5 3
READ 9 4
READ 8 4
WRITE 6 1
READ 10 3
WRITE 13 1
READ 3 4
READ 1 4
READ 9 3
READ 10 4
READ 4 4
READ 9 3
READ 10 2
WRITE 10 4
WRITE 11 1
READ 7 3
WRITE 11 1
WRITE 10 4
READ 11 1
READ 6 4
WRITE 8 3
READ 5 2
READ 10 1
READ 2 3
READ 11 3
READ 3 1
READ 4 2
WRITE 15 2
READ 9 2
WRITE 10 2
WRITE 8 2
WRITE 10 1
READ 5 2
READ 8 1
READ 10 4
READ 10 4
WRITE 1 2
WRITE 8 1
WRITE 5 2
READ 10 4
READ 5 1
WRITE 12 2
READ 2 4
WRITE 3 2
READ 8 2
READ 15 1
WRITE 2 2
WRITE 8 2
WRITE 6 4
WRITE 12 2
WRITE 2 2
READ 7 4
READ 4 3
READ 7 1
READ 6 4
WRITE 14 1
WRITE 16 2
WRITE 2 1
WRITE 9 1
READ 6 3
READ 1 1
WRITE 5 4
READ 10 4
READ 1 4
READ 11 4
WRITE 14 2
WRITE 15 1
READ 3 2
WRITE 12 3
WRITE 15 1
READ 1 1
READ 6 4
READ 7 4
READ 5 1
WRITE 16 1
WRITE 5 2
READ 16 2
WRITE 16 1
WRITE 16 1
WRITE 15 3
WRITE 15 3
WRITE 4 3
READ 8 2
WRITE 6 3
READ 1 3
READ 11 2
WRITE 11 2
READ 7 3
WRITE 5 4
READ 12 3
READ 12 3
WRITE 4 3
WRITE 8 3
READ 6 4
WRITE 8 4
WRITE 2 4
WRITE 10 4
WRITE 4 3
WRITE 3 4
READ 7 2
ENDPROC 1
ENDPROC 2
ENDPROC 3
ENDPROC 4
